Ausspielung,Datum,Spiel01_Tendenz1,Spiel01_Tendenz0,Spiel01_Tendenz2,Spiel02_Tendenz1,Spiel02_Tendenz0,Spiel02_Tendenz2,Spiel03_Tendenz1,Spiel03_Tendenz0,Spiel03_Tendenz2,Spiel04_Tendenz1,Spiel04_Tendenz0,Spiel04_Tendenz2,Spiel05_Tendenz1,Spiel05_Tendenz0,Spiel05_Tendenz2,Spiel06_Tendenz1,Spiel06_Tendenz0,Spiel06_Tendenz2,Spiel07_Tendenz1,Spiel07_Tendenz0,Spiel07_Tendenz2,Spiel08_Tendenz1,Spiel08_Tendenz0,Spiel08_Tendenz2,Spiel09_Tendenz1,Spiel09_Tendenz0,Spiel09_Tendenz2,Spiel10_Tendenz1,Spiel10_Tendenz0,Spiel10_Tendenz2,Spiel11_Tendenz1,Spiel11_Tendenz0,Spiel11_Tendenz2,Spiel12_Tendenz1,Spiel12_Tendenz0,Spiel12_Tendenz2,Spiel13_Tendenz1,Spiel13_Tendenz0,Spiel13_Tendenz2,Spiel01_Resultat,Spiel02_Resultat,Spiel03_Resultat,Spiel04_Resultat,Spiel05_Resultat,Spiel06_Resultat,Spiel07_Resultat,Spiel08_Resultat,Spiel09_Resultat,Spiel10_Resultat,Spiel11_Resultat,Spiel12_Resultat,Spiel13_Resultat,Spieleinsatz,Anzahl Klasse 1,Quote Klasse 1,Anzahl Klasse 2,Quote Klasse 2,Anzahl Klasse 3,Quote Klasse 3,Anzahl Klasse 4,Quote Klasse 4,Spiel01_Heim,Spiel01_Auswärts,Spiel02_Heim,Spiel02_Auswärts,Spiel03_Heim,Spiel03_Auswärts,Spiel04_Heim,Spiel04_Auswärts,Spiel05_Heim,Spiel05_Auswärts,Spiel06_Heim,Spiel06_Auswärts,Spiel07_Heim,Spiel07_Auswärts,Spiel08_Heim,Spiel08_Auswärts,Spiel09_Heim,Spiel09_Auswärts,Spiel10_Heim,Spiel10_Auswärts,Spiel11_Heim,Spiel11_Auswärts,Spiel12_Heim,Spiel12_Auswärts,Spiel13_Heim,Spiel13_Auswärts,BL,BL2,DFBP,DL_sonstige,ENG,ITA,ESP,Laenderspiele,International_Club,sonstige,Los_01,Los_02,Los_03,Los_04,Los_05,Los_06,Los_07,Los_08,Los_09,Los_10,Los_11,Los_12,Los_13
1,07.08.2004,3,3,4,5,3,2,6,3,1,5,3,2,3,4,3,4,3,3,3,4,3,4,3,3,5,3,2,4,3,3,4,3,3,4,3,3,4,3,3,2,1,1,2,0,2,0,0,0,0,2,1,0,776426.5,0,97053.3,12,8087.7,161,602.8,1927,50.3,Hamburger SV,Bayern München,Bayer Leverkusen,Hannover 96,VfB Stuttgart,FSV Mainz 05,Borussia Dortmund,VfL Wolfsburg,Hertha BSC Berlin,VfL Bochum,1. FC Kaiserslautern,1. FC Nürnberg,Arminia Bielefeld,Borussia Mönchengladbach,SC Freiburg,Hansa Rostock,1860 München,SpVgg Unterhaching,Rot-Weiß Oberhausen,Eintracht Trier,1. FC Saarbrücken,Rot-Weiß Erfurt,SpVgg Greuther Fürth,LR Ahlen,1. FC Köln,Energie Cottbus,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,14.08.2004,6,3,1,4,3,3,4,3,3,5,3,2,2,3,5,3,4,3,4,3,3,3,3,4,3,4,3,5,3,2,3,3,4,3,4,3,5,3,2,0,0,2,1,2,0,2,1,0,0,2,0,1,1005427,0,222731.6,1,125678.3,77,1632.1,1031,121.8,Bayern München,Hertha BSC Berlin,VfL Bochum,Bayer Leverkusen,Borussia Mönchengladbach,Borussia Dortmund,FC Schalke 04,1. FC Kaiserslautern,Hansa Rostock,Werder Bremen,1. FC Nürnberg,VfB Stuttgart,VfL Wolfsburg,SC Freiburg,FSV Mainz 05,Hamburger SV,Rot-Weiß Erfurt,Rot-Weiß Oberhausen,Eintracht Trier,Rot-Weiß Essen,SpVgg Unterhaching,SpVgg Greuther Fürth,LR Ahlen,Alemannia Aachen,Eintracht Frankfurt,Karlsruher SC,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,21.08.2004,3,3,4,3,4,3,4,3,3,3,3,4,2,2,6,2,2,6,2,2,6,2,2,6,2,3,5,2,3,5,2,3,5,1,2,7,2,2,6,2,2,2,2,1,2,2,2,0,2,1,2,2,1120001.5,20,18136.5,755,185.4,9824,14.2,68842,2,1. FC Saarbrücken,1. FC Köln,Rot-Weiß Erfurt,Eintracht Frankfurt,Dynamo Dresden,Karlsruher SC,Rot-Weiß Essen,Alemannia Aachen,SC Paderborn,Hamburger SV,Union Berlin,SC Freiburg,VfB Lübeck,Borussia Dortmund,Fortuna Düsseldorf,VfL Bochum,Bayern München (A),Borussia Mönchengladbach,VfR Aalen,FSV Mainz 05,VfL Osnabrück,Erzgebirge Aue,Jahn Regensburg,Werder Bremen,TSG Hoffenheim,Hansa Rostock,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,28.08.2004,3,4,3,3,3,4,3,4,3,3,3,4,5,3,2,3,4,3,4,3,3,4,3,3,5,3,2,4,3,3,2,4,4,4,3,3,4,3,3,1,2,0,2,0,1,2,0,2,2,0,0,1,978513,0,122314.1,5,24462.8,35,3494.6,262,466.8,Bayer Leverkusen,Bayern München,1. FC Kaiserslautern,VfB Stuttgart,SC Freiburg,Borussia Mönchengladbach,Arminia Bielefeld,VfL Bochum,Hertha BSC Berlin,FSV Mainz 05,Hamburger SV,1. FC Nürnberg,FC Schalke 04,Hansa Rostock,Borussia Dortmund,Hannover 96,Werder Bremen,VfL Wolfsburg,Rot-Weiß Oberhausen,MSV Duisburg,1. FC Saarbrücken,Energie Cottbus,Dynamo Dresden,Wacker Burghausen,SpVgg Greuther Fürth,Erzgebirge Aue,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,04.09.2004,5,3,2,2,3,5,5,3,2,4,3,3,3,3,4,3,4,3,5,3,2,5,3,2,4,3,3,7,2,1,2,2,6,2,3,5,4,3,3,1,0,1,0,2,2,0,0,1,0,1,2,0,1152447,0,266369.9,4,36013.9,97,1485.1,967,148.9,Italien,Norwegen,Österreich,England,Rumänien,Mazedonien,Russland,Slowakei,Island,Bulgarien,Nordirland,Polen,Türkei,Georgien,Belgien,Litauen,Kroatien,Ungarn,Frankreich,Israel,Albanien,Griechenland,Lettland,Portugal,Dänemark,Ukraine,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,11.09.2004,3,3,4,5,3,2,2,4,4,5,3,2,3,4,3,4,3,3,3,4,3,4,3,3,4,3,3,5,3,2,3,3,4,3,4,3,3,4,3,1,1,1,1,0,1,0,0,2,1,0,2,2,1416053,3,147792.1,77,2298.7,1004,176.3,9119,19.4,Borussia Mönchengladbach,Werder Bremen,VfB Stuttgart,Hamburger SV,FSV Mainz 05,Bayer Leverkusen,Bayern München,Arminia Bielefeld,VfL Bochum,Borussia Dortmund,VfL Wolfsburg,FC Schalke 04,1. FC Nürnberg,Hertha BSC Berlin,Hannover 96,SC Freiburg,Hansa Rostock,1. FC Kaiserslautern,MSV Duisburg,Rot-Weiß Essen,Eintracht Trier,SpVgg Greuther Fürth,SpVgg Unterhaching,Alemannia Aachen,Karlsruher SC,1. FC Köln,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,18.09.2004,3,4,3,3,3,4,5,3,2,4,3,3,6,3,1,3,4,3,3,3,4,3,4,3,4,3,3,3,3,4,5,3,2,3,3,4,3,4,3,0,0,1,1,0,1,0,2,0,1,1,1,2,1080232.5,1,135029,36,3750.8,484,278.9,4804,28.1,Borussia Dortmund,Bayern München,Hertha BSC Berlin,VfB Stuttgart,Werder Bremen,Hannover 96,FC Schalke 04,Borussia Mönchengladbach,Bayer Leverkusen,1. FC Nürnberg,1. FC Kaiserslautern,Hamburger SV,SC Freiburg,VfL Bochum,Hansa Rostock,VfL Wolfsburg,Arminia Bielefeld,FSV Mainz 05,Rot-Weiß Essen,Energie Cottbus,SpVgg Greuther Fürth,Rot-Weiß Erfurt,1. FC Saarbrücken,Eintracht Frankfurt,Alemannia Aachen,1. FC Köln,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,25.09.2004,4,3,3,5,3,2,3,4,3,3,4,3,4,3,3,4,3,3,4,3,3,3,4,3,3,4,3,3,4,3,4,3,3,3,3,4,5,3,2,1,1,2,1,0,1,2,0,1,1,1,0,1,1114891,7,19908.7,208,670,2522,55.2,18162,7.6,VfB Stuttgart ,Bayer Leverkusen ,Bayern München ,SC Freiburg ,VfL Bochum ,Werder Bremen ,Hannover 96 ,FC Schalke 04 ,Borussia Mönchengladbach ,Hansa Rostock ,VfL Wolfsburg ,1. FC Kaiserslautern ,1. FC Nürnberg ,Arminia Bielefeld ,FSV Mainz 05 ,Borussia Dortmund ,Hamburger SV ,Hertha BSC Berlin ,MSV Duisburg ,SpVgg Greuther Fürth ,Eintracht Trier ,SpVgg Unterhaching ,Erzgebirge Aue ,Alemannia Aachen ,1. FC Köln ,Dynamo Dresden ,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,02.10.2004,4,3,3,3,4,3,5,3,2,5,3,2,4,3,3,2,3,5,3,4,3,4,3,3,3,4,3,3,4,3,3,3,4,4,3,3,5,3,2,2,1,1,1,0,2,2,2,2,1,1,2,1,1144624.5,3,47692.6,20,7153.9,315,454.2,3191,44.8,Werder Bremen,Bayern München ,FC Schalke 04,VfL Bochum ,Bayer Leverkusen,Hamburger SV ,VfL Wolfsburg,Borussia Mönchengladbach ,Borussia Dortmund,1. FC Nürnberg ,Arminia Bielefeld,VfB Stuttgart ,1. FC Kaiserslautern,Hertha BSC Berlin ,Hansa Rostock,Hannover 96 ,SC Freiburg,FSV Mainz 05 ,Rot-Weiß Oberhausen,Karlsruher SC ,1. FC Saarbrücken,1. FC Köln ,1860 München,Wacker Burghausen ,SpVgg Greuther Fürth,Energie Cottbus ,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,09.10.2004,2,3,5,4,3,3,2,3,5,3,3,4,3,4,3,5,3,2,3,4,3,5,3,2,5,3,2,4,3,3,4,3,3,2,3,5,3,4,3,2,1,0,2,0,0,2,1,1,0,1,1,2,1031908.5,3,42996.1,83,1554,1113,115.8,9401,13.7,Iran,Deutschland,Tschechien,Rumänien,Mazedonien,Niederlande,Albanien,Dänemark,Ukraine,Griechenland,Frankreich,Irland,Österreich,Polen,England,Wales,Spanien,Belgien,Kroatien,Bulgarien,Schweden,Ungarn,Slowenien,Italien,Schottland,Norwegen,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
